hidden_dim,num_layers,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
64,3,0.001,16,0.8352349977024266,0.4,0.3388235294117647,1.2676127488198488,0.46808510638297873,0.8823529411764706,3.0462415160527723
64,3,0.001,32,0.8415300551333714,0.3333333333333333,0.23703703703703702,1.2636765306410582,0.4708304735758408,0.8823529411764706,3.0388923205978804
64,3,0.001,64,0.8407482379446916,0.4,0.3388235294117647,1.2584219238032466,0.4708304735758408,0.8823529411764706,3.0388923205978804
64,3,0.01,16,0.8247763884197818,0.4,0.3388235294117647,1.2873226255178452,0.4838709677419355,0.8823529411764706,2.921305193319607
64,3,0.01,32,0.978541418502891,0.3333333333333333,0.23703703703703702,1.3581443636313728,0.4021962937542896,0.8823529411764706,3.5312884160756504
64,3,0.01,64,0.8653944072827615,0.4666666666666667,0.6079365079365079,1.27423051647518,0.4660260809883322,0.8823529411764706,3.0168447342332043
128,1,0.0001,16,0.9383943559693508,0.4,0.3388235294117647,1.2540229960628178,0.4070006863417982,0.8784313725490196,3.590081979714787
128,1,0.0001,32,0.9364133910403225,0.4,0.3388235294117647,1.2536102533340454,0.4021962937542896,0.8067226890756302,3.6011057728971245
128,1,0.0001,64,0.9373479895904416,0.4,0.3388235294117647,1.254174178061278,0.40768702814001373,0.8784313725490196,3.5753835888050025
128,1,0.001,16,0.941418629852149,0.4,0.3388235294117647,1.2266651599303535,0.4248455730954015,0.912655971479501,3.3916537024327007
128,1,0.001,32,0.9419113612565838,0.4,0.3388235294117647,1.2276771340681158,0.42210020590253944,0.8823529411764706,3.410026691069931
128,1,0.001,64,0.9378556169447352,0.4,0.3388235294117647,1.2244220363057179,0.42072752230610844,0.8823529411764706,3.410026691069931
128,1,0.01,16,0.8207158219944584,0.3333333333333333,0.23703703703703702,1.2395004772621652,0.47494852436513385,0.8500948766603416,2.994797147868528
128,1,0.01,32,0.8261976279521901,0.3333333333333333,0.34400871459694987,1.2646920071995778,0.4639670555936857,0.8500948766603416,3.0793128955997866
128,1,0.01,64,0.8283496157067721,0.4,0.23703703703703702,1.2734697655491207,0.45778997940974603,0.8500948766603416,3.1197334706016933
128,2,0.0001,16,0.9401121172097211,0.4,0.31333333333333335,1.2820662182310354,0.3925875085792725,0.9108159392789374,3.674597727446046
128,2,0.0001,32,0.941412486013819,0.4,0.31333333333333335,1.2788199043792228,0.39190116678105696,0.9108159392789374,3.6745977274460464
128,2,0.0001,64,0.9385379995804667,0.4,0.31333333333333335,1.273727481779845,0.39190116678105696,0.8823529411764706,3.674597727446046
128,2,0.001,16,0.8824348371537005,0.3333333333333333,0.23703703703703702,1.2966793892176256,0.4426904598490048,0.8823529411764706,3.2336460001525205
128,2,0.001,32,0.8823025018139615,0.3333333333333333,0.23703703703703702,1.2957404683465543,0.4420041180507893,0.8823529411764706,3.2373205978799664
128,2,0.001,64,0.8837001414898314,0.3333333333333333,0.23703703703703702,1.2892748441385187,0.44406314344543585,0.8823529411764706,3.2226222069701818
128,2,0.01,16,0.9019436380250858,0.3333333333333333,0.2185185185185185,1.3206436608148657,0.4358270418668497,0.8784313725490196,3.2924395637916573
128,2,0.01,32,0.8630295364908833,0.4,0.3388235294117647,1.3056736705095873,0.44406314344543585,0.8823529411764706,3.207923816060398
128,2,0.01,64,0.8807149521314381,0.3333333333333333,0.23703703703703702,1.2598819810411204,0.45778997940974603,0.8823529411764706,3.1454556546938157
128,3,0.0001,16,0.9291095463304572,0.3333333333333333,0.31333333333333335,1.2652382021364958,0.39670555936856555,0.8823529411764706,3.6341771524441397
128,3,0.0001,32,0.9361425104037009,0.4,0.31333333333333335,1.2574068942795629,0.40494166094715167,0.912655971479501,3.5864073819873408
128,3,0.0001,64,0.929494760401262,0.3333333333333333,0.31333333333333335,1.2587279975414276,0.4008236101578586,0.8823529411764706,3.6158041638069096
128,3,0.001,16,0.9018009445054935,0.3333333333333333,0.23703703703703702,1.3664309058500372,0.41455044612216885,0.8823529411764706,3.406352093342485
128,3,0.001,32,0.8211604066885234,0.4,0.3388235294117647,1.3138080744639686,0.4598490048043926,0.8500948766603416,3.090336688782125
128,3,0.001,64,0.8192891270085111,0.4,0.3388235294117647,1.33472218202508,0.4612216884008236,0.8500948766603416,3.0793128955997866
128,3,0.01,16,0.8319400768788134,0.26666666666666666,0.4242424242424242,1.217803747109745,0.4776938915579959,0.8823529411764706,2.9764241592312968
128,3,0.01,32,0.8741123723527773,0.3333333333333333,0.23703703703703702,1.244228676609371,0.4790665751544269,0.8823529411764706,2.936003584229391
128,3,0.01,64,0.8712100808412,0.26666666666666666,0.5155555555555555,1.2737391461496768,0.46328071379547014,0.0,3.0719637001448943
